App,Title,Description,Steps
WhatsApp,Two-Step Verification,Add a PIN required to re-register your phone number,1. Open Settings|2. Tap Account|3. Tap Two-Step Verification|4. Tap Enable|5. Set a six-digit PIN
WhatsApp,Audit Linked Devices,Review and remove old or unused linked device sessions,1. Open Settings|2. Tap Linked Devices|3. Review active sessions|4. Log out unused devices
WhatsApp,Secure Chat Backup,Disable cloud backup or enable end-to-end encrypted backup,1. Open Settings|2. Tap Chats|3. Tap Chat Backup|4. Turn off auto backup or enable End-to-End Encrypted Backup
WhatsApp,Block Unknown Numbers,Manually block and report spam or unrecognized contacts,1. Open the chat from unknown number|2. Tap contact name|3. Tap Block|4. Optionally tap Report
Chrome,Limit Sync Data,Disable or restrict sync to avoid storing history and passwords in the cloud,1. Open Settings|2. Tap You and Google|3. Tap Sync and Google Services|4. Turn off sync or select specific items to exclude
Chrome,Block Third-Party Cookies,Prevent cross-site tracking cookies from being set,1. Open Settings|2. Tap Privacy and Security|3. Tap Third-Party Cookies|4. Select Block Third-Party Cookies
Chrome,Disable Ad Privacy Features,Turn off ad topics and site-suggested ads and ad measurement tracking,1. Open Settings|2. Tap Privacy and Security|3. Tap Ad Privacy|4. Turn off Ad Topics and Site-Suggested Ads and Ad Measurement
Chrome,Configure Safe Browsing Level,Choose Standard or Enhanced protection based on your data-sharing preference,1. Open Settings|2. Tap Privacy and Security|3. Tap Safe Browsing|4. Select Standard or Enhanced Protection
Chrome,Default-Deny Site Permissions,Set location and camera and microphone and notifications to ask or block by default,1. Open Settings|2. Tap Privacy and Security|3. Tap Site Settings|4. Set each permission category to Ask or Block by default
Chrome,Clear Cookies on Exit,Automatically delete cookies when the browser closes,1. Open Settings|2. Tap Privacy and Security|3. Tap Cookies and Other Site Data|4. Enable Clear Cookies When You Close All Windows
Chrome,Enable Do Not Track,Send a do-not-track signal to visited sites,1. Open Settings|2. Tap Privacy and Security|3. Tap Cookies and Other Site Data|4. Toggle Send a Do Not Track Request on
Chrome,Separate Browsing Profiles,Use distinct profiles for logged-in Google activity and general browsing,1. Click profile icon|2. Tap Add|3. Create a new profile|4. Sign in only on the dedicated profile
Chrome,Install Tracker Blocker,Use an extension like uBlock Origin to block ads and trackers,1. Open Chrome Web Store|2. Search uBlock Origin|3. Click Add to Chrome|4. Confirm installation
Chrome,Disable Network Prediction,Turn off page preloading to avoid leaking browsing intent,1. Open Settings|2. Tap Privacy and Security|3. Tap Preload Pages|4. Select No Preloading
LinkedIn,Private Profile Viewing,Browse profiles anonymously or in semi-private mode,1. Open Settings and Privacy|2. Tap Visibility|3. Tap Profile Viewing Options|4. Select Private or Semi-Private Mode
LinkedIn,Trim Public Profile Visibility,Hide connections list and limit public profile details,1. Open Settings and Privacy|2. Tap Visibility|3. Tap Edit Your Public Profile|4. Toggle off unwanted sections including Connections
LinkedIn,Disable Off-LinkedIn Activity Tracking,Turn off use of activity outside LinkedIn for ad targeting,1. Open Settings and Privacy|2. Tap Data Privacy|3. Tap Off-LinkedIn Activity|4. Turn off
LinkedIn,Restrict Email and Connections Visibility,Set email address and connection list visible only to you,1. Open Settings and Privacy|2. Tap Visibility|3. Tap Who Can See Your Email|4. Set to Only You|5. Repeat for Connections
LinkedIn,Two-Factor Authentication,Enable 2FA for account login,1. Open Settings and Privacy|2. Tap Sign In and Security|3. Tap Two-Step Verification|4. Turn on and choose method
LinkedIn,Disable Contact Sync,Turn off syncing of phone or email contacts,1. Open Settings and Privacy|2. Tap Data Privacy|3. Tap Sync Contacts|4. Turn off
LinkedIn,Hide Job Seeking Signal,Disable notifying your network when you are open to work,1. Open Job Seeking Preferences|2. Tap Open to Work|3. Set visibility to Recruiters Only or turn off
LinkedIn,Opt Out of Research Participation,Disable salary and research data sharing programs,1. Open Settings and Privacy|2. Tap Data Privacy|3. Tap Research Invitations or Salary|4. Opt out
GitHub,Mandatory Two-Factor Authentication,Require 2FA via authenticator app or hardware security key,1. Open Settings|2. Tap Password and Authentication|3. Click Enable Two-Factor Authentication|4. Set up authenticator app or security key
GitHub,Audit SSH Keys,Review and remove stale or unused SSH keys,1. Open Settings|2. Tap SSH and GPG Keys|3. Review listed keys|4. Delete unused ones
GitHub,Use Fine-Grained Tokens,Prefer scoped personal access tokens with expiry over classic tokens,1. Open Settings|2. Tap Developer Settings|3. Tap Personal Access Tokens|4. Generate a Fine-Grained Token with limited scope and expiry
GitHub,Keep Email Address Private,Hide your email and block it from being exposed via command-line pushes,1. Open Settings|2. Tap Emails|3. Enable Keep My Email Address Private|4. Enable Block Command Line Pushes That Expose My Email
GitHub,Hide Private Contribution Activity,Prevent private repo activity from showing on your public timeline,1. Open your profile|2. Click Edit Profile|3. Toggle Include Private Contributions on My Profile as desired|4. Save changes
GitHub,Revoke Unused OAuth Apps,Remove third-party application access you no longer use,1. Open Settings|2. Tap Applications|3. Tap Authorized OAuth Apps|4. Revoke unused apps
GitHub,Review Organization Access,Check which organizations can view your account data,1. Open Settings|2. Tap Organizations|3. Review membership list|4. Leave or adjust visibility for unwanted orgs
GitHub,Enable Commit Signing,Sign commits with GPG or SSH to prevent impersonation,1. Generate a GPG or SSH signing key|2. Open Settings|3. Tap SSH and GPG Keys|4. Add the signing key|5. Configure git to sign commits by default
